epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.612,1.88794,3.46909,1.69941,0.01108,0.787,0.19723,0.09867,1.31475,3.01855,1.16138,0.00021435,0.00021435,0.00021435
2,37.97,1.40539,2.11807,1.31169,0.51747,0.30303,0.34251,0.18849,1.25065,2.64436,1.20304,0.000442915,0.000442915,0.000442915
3,41.3823,1.26458,1.73627,1.22775,0.66542,0.1421,0.36745,0.22246,1.16415,2.74536,1.18993,0.000671174,0.000671174,0.000671174
4,73.3573,1.20288,1.59464,1.20615,0.52698,0.22341,0.28363,0.14694,1.38148,2.68893,1.3307,0.000898896,0.000898896,0.000898896
5,107.347,1.18126,1.4893,1.19731,0.46536,0.41114,0.37444,0.21655,1.30816,2.1855,1.30137,0.00112585,0.00112585,0.00112585
6,138.042,1.17613,1.44321,1.19741,0.4688,0.45668,0.41422,0.23706,1.38585,2.06833,1.40271,0.0013518,0.0013518,0.0013518
7,166.705,1.18064,1.42827,1.20961,0.52153,0.45027,0.43366,0.25066,1.30304,1.78817,1.36705,0.00142029,0.00142029,0.00142029
8,194.026,1.15691,1.3548,1.18628,0.41335,0.42481,0.37769,0.23331,1.30739,1.87681,1.36558,0.00141716,0.00141716,0.00141716
9,222.928,1.13206,1.29382,1.17094,0.48931,0.45567,0.40007,0.24475,1.29127,1.83336,1.34791,0.00141354,0.00141354,0.00141354
10,248.98,1.11807,1.2508,1.16991,0.5174,0.48766,0.44694,0.27145,1.2548,1.70961,1.28912,0.00140946,0.00140946,0.00140946
11,275.695,1.09639,1.24554,1.1659,0.45942,0.51472,0.44789,0.28128,1.16091,1.77273,1.2524,0.0014049,0.0014049,0.0014049
12,303.784,1.09004,1.20814,1.16592,0.45032,0.53032,0.44399,0.27781,1.18632,1.61054,1.25538,0.00139987,0.00139987,0.00139987
13,329.119,1.09855,1.19665,1.17106,0.52627,0.46623,0.47211,0.30251,1.14524,1.62006,1.24597,0.00139438,0.00139438,0.00139438
14,357.34,1.06779,1.14633,1.15794,0.53465,0.53005,0.51965,0.33718,1.14068,1.44224,1.23544,0.00138843,0.00138843,0.00138843
15,384.831,1.06783,1.13437,1.15407,0.5529,0.52069,0.51475,0.32829,1.08984,1.56544,1.20519,0.00138202,0.00138202,0.00138202
16,411.347,1.05425,1.1171,1.14422,0.54113,0.56379,0.54619,0.35818,1.09316,1.42402,1.19274,0.00137516,0.00137516,0.00137516
17,436.683,1.0451,1.0975,1.13712,0.43245,0.56278,0.5088,0.33646,1.04633,1.66655,1.19036,0.00136785,0.00136785,0.00136785
18,461.113,1.0496,1.09163,1.14387,0.58785,0.49527,0.52831,0.342,1.14245,1.46391,1.23606,0.00136009,0.00136009,0.00136009
19,488.782,1.03784,1.07482,1.13402,0.58229,0.52565,0.531,0.35786,1.08736,1.38999,1.19027,0.0013519,0.0013519,0.0013519
20,516.429,1.0279,1.06356,1.13143,0.55789,0.48369,0.47738,0.30956,1.12695,1.57053,1.2359,0.00134328,0.00134328,0.00134328
21,543.612,1.02906,1.04208,1.12578,0.55108,0.54477,0.56397,0.3835,1.05155,1.31666,1.15874,0.00133423,0.00133423,0.00133423
22,568.761,1.01281,1.04784,1.12391,0.56539,0.52795,0.51552,0.31733,1.11154,1.65405,1.21719,0.00132476,0.00132476,0.00132476
23,595.15,0.99846,1.01461,1.11364,0.56402,0.5783,0.58225,0.37681,1.08465,1.40429,1.21069,0.00131488,0.00131488,0.00131488
24,620.407,1.01185,1.0291,1.12509,0.49501,0.57097,0.5338,0.34933,1.05409,1.38266,1.19373,0.00130459,0.00130459,0.00130459
25,646.332,0.9743,0.97411,1.10502,0.57977,0.52727,0.53399,0.35097,1.06741,1.36324,1.1897,0.00129391,0.00129391,0.00129391
26,672.265,0.98701,0.97936,1.11403,0.58069,0.58751,0.56327,0.38866,1.01118,1.37348,1.158,0.00128283,0.00128283,0.00128283
27,699.43,0.99645,0.98521,1.11037,0.49224,0.58276,0.5321,0.36056,1.0512,1.3714,1.18231,0.00127136,0.00127136,0.00127136
28,725.969,0.97575,0.95913,1.1039,0.5866,0.61292,0.58165,0.3939,1.01803,1.20169,1.16224,0.00125952,0.00125952,0.00125952
29,751.957,0.95335,0.95921,1.09099,0.51883,0.57161,0.54475,0.3665,1.04255,1.47977,1.15904,0.00124731,0.00124731,0.00124731
30,778.994,0.95998,0.95445,1.09863,0.57942,0.57973,0.56239,0.375,1.01285,1.31194,1.15103,0.00123474,0.00123474,0.00123474
31,805.656,0.95453,0.93889,1.09383,0.53509,0.58137,0.54604,0.38467,0.96264,1.30025,1.1278,0.00122182,0.00122182,0.00122182
32,832.803,0.97031,0.95167,1.10377,0.59375,0.61958,0.56625,0.3815,1.03534,1.30473,1.16692,0.00120856,0.00120856,0.00120856
33,862.799,0.94451,0.92768,1.09264,0.5785,0.58056,0.54851,0.3759,1.00282,1.28284,1.15061,0.00119496,0.00119496,0.00119496
34,889.703,0.93114,0.91465,1.08314,0.56117,0.60009,0.57461,0.38615,1.04133,1.18723,1.19238,0.00118104,0.00118104,0.00118104
35,920.178,0.93625,0.89446,1.08245,0.59473,0.53845,0.55497,0.38728,1.02074,1.23783,1.16191,0.0011668,0.0011668,0.0011668
36,947.093,0.92806,0.88869,1.08105,0.50626,0.63347,0.5808,0.40318,1.00412,1.1923,1.16399,0.00115226,0.00115226,0.00115226
37,972.353,0.93822,0.89394,1.07816,0.59378,0.59026,0.56968,0.39635,1.00274,1.23186,1.14682,0.00113742,0.00113742,0.00113742
38,994.486,0.9292,0.87589,1.07957,0.56803,0.61162,0.59571,0.39962,1.04132,1.24209,1.18785,0.0011223,0.0011223,0.0011223
39,1020.19,0.94481,0.89585,1.08828,0.59078,0.5618,0.58659,0.39867,1.01881,1.21021,1.18155,0.0011069,0.0011069,0.0011069
40,1044.53,0.89985,0.84288,1.06645,0.63332,0.59269,0.58269,0.40469,1.00485,1.18111,1.16638,0.00109124,0.00109124,0.00109124
41,1070.23,0.91818,0.85658,1.07034,0.55162,0.59322,0.53696,0.36256,1.03558,1.31281,1.17555,0.00107532,0.00107532,0.00107532
42,1097.56,0.89217,0.83287,1.05827,0.61693,0.56133,0.53621,0.35556,1.03915,1.3537,1.18986,0.00105917,0.00105917,0.00105917
43,1123.93,0.91455,0.8412,1.07639,0.59838,0.58235,0.57376,0.38754,1.03893,1.27955,1.17232,0.00104278,0.00104278,0.00104278
44,1152.38,0.90839,0.86117,1.07105,0.58504,0.58709,0.55812,0.39378,0.9851,1.19766,1.15546,0.00102617,0.00102617,0.00102617
45,1180.38,0.89442,0.81983,1.05699,0.57518,0.54724,0.55961,0.38883,1.0016,1.16699,1.15822,0.00100935,0.00100935,0.00100935
46,1209.07,0.88826,0.81665,1.05804,0.63225,0.63009,0.59685,0.42112,0.94829,1.12435,1.11705,0.000992338,0.000992338,0.000992338
47,1234.73,0.88956,0.81278,1.05907,0.60461,0.57562,0.57301,0.40157,0.99345,1.19215,1.15487,0.000975138,0.000975138,0.000975138
48,1262.81,0.87895,0.8154,1.05394,0.61751,0.55656,0.56321,0.39305,0.9545,1.21694,1.13621,0.000957765,0.000957765,0.000957765
49,1290.21,0.87885,0.80242,1.05065,0.57907,0.63557,0.57729,0.40931,0.94945,1.15876,1.14533,0.00094023,0.00094023,0.00094023
50,1318.16,0.87413,0.8016,1.05067,0.58505,0.59491,0.56776,0.39323,1.01288,1.17293,1.18641,0.000922545,0.000922545,0.000922545
51,1342.27,0.85685,0.77493,1.04607,0.5801,0.62142,0.59068,0.41546,0.975,1.16367,1.15328,0.000904722,0.000904722,0.000904722
52,1365.71,0.85876,0.7745,1.04069,0.6487,0.5413,0.56546,0.39559,1.01073,1.25358,1.15461,0.000886774,0.000886774,0.000886774
53,1393.45,0.85838,0.76486,1.04661,0.60528,0.59916,0.58875,0.4181,0.9875,1.17403,1.14944,0.000868712,0.000868712,0.000868712
54,1418.24,0.85127,0.77313,1.03918,0.58978,0.59407,0.58111,0.40778,1.00834,1.18384,1.1758,0.00085055,0.00085055,0.00085055
55,1442.98,0.86038,0.76805,1.04141,0.62931,0.63332,0.61781,0.43843,0.96288,1.08742,1.13657,0.0008323,0.0008323,0.0008323
56,1470.52,0.85914,0.75201,1.03904,0.6304,0.61028,0.61646,0.44096,0.96625,1.15392,1.13445,0.000813973,0.000813973,0.000813973
57,1494.2,0.85347,0.74756,1.03862,0.60641,0.59741,0.59697,0.43123,0.97641,1.14493,1.14614,0.000795584,0.000795584,0.000795584
58,1520.17,0.83125,0.73099,1.0319,0.52324,0.60932,0.5393,0.37241,1.00876,1.23202,1.16373,0.000777143,0.000777143,0.000777143
59,1546.34,0.83825,0.7321,1.02943,0.54145,0.64921,0.58627,0.40435,0.98076,1.1248,1.16612,0.000758665,0.000758665,0.000758665
60,1573.74,0.83505,0.71813,1.02963,0.59728,0.60881,0.58461,0.41042,0.99145,1.16948,1.17067,0.000740161,0.000740161,0.000740161
61,1598.3,0.84335,0.735,1.03175,0.62229,0.59076,0.58066,0.4057,0.96687,1.16285,1.1379,0.000721645,0.000721645,0.000721645
62,1623.89,0.8401,0.7228,1.03902,0.66296,0.56939,0.60027,0.41601,0.99525,1.17673,1.18525,0.000703129,0.000703129,0.000703129
63,1649.59,0.83706,0.72795,1.03045,0.6434,0.53173,0.57725,0.41137,0.95722,1.14459,1.15158,0.000684625,0.000684625,0.000684625
64,1676.51,0.8348,0.71777,1.02936,0.56995,0.65304,0.61491,0.44462,0.93478,1.08749,1.12242,0.000666147,0.000666147,0.000666147
65,1704.18,0.82369,0.71103,1.0293,0.62192,0.55621,0.59214,0.41976,0.9579,1.14781,1.14116,0.000647706,0.000647706,0.000647706
66,1730.65,0.81015,0.68707,1.01498,0.5872,0.63339,0.61018,0.43897,0.95663,1.11113,1.1527,0.000629317,0.000629317,0.000629317
67,1756.86,0.80564,0.67697,1.0152,0.66358,0.53354,0.58823,0.42492,0.94146,1.14971,1.13348,0.00061099,0.00061099,0.00061099
68,1783.34,0.80668,0.68088,1.01221,0.56195,0.63158,0.58994,0.42087,0.97263,1.15214,1.14434,0.00059274,0.00059274,0.00059274
69,1809.16,0.79158,0.66163,1.01086,0.61452,0.60644,0.5907,0.41842,0.96578,1.17979,1.1441,0.000574578,0.000574578,0.000574578
70,1836.94,0.80124,0.66907,1.00426,0.6375,0.57871,0.59445,0.42472,0.94809,1.12972,1.12807,0.000556516,0.000556516,0.000556516
71,1862.99,0.78713,0.65882,1.00825,0.63556,0.59008,0.60984,0.43718,0.97347,1.11613,1.15054,0.000538568,0.000538568,0.000538568
72,1889.11,0.77502,0.64954,1.00029,0.63511,0.58037,0.59724,0.43312,0.95169,1.12262,1.13237,0.000520745,0.000520745,0.000520745
73,1915.29,0.78012,0.65211,1.00516,0.60138,0.56852,0.58214,0.42066,0.95981,1.11741,1.13682,0.00050306,0.00050306,0.00050306
74,1942.01,0.79376,0.64789,1.00364,0.61553,0.63998,0.59814,0.43961,0.92712,1.1245,1.11791,0.000485525,0.000485525,0.000485525
75,1967.75,0.77834,0.64035,1.00015,0.59957,0.64421,0.5798,0.41991,0.92751,1.16524,1.13022,0.000468152,0.000468152,0.000468152
76,1994.15,0.78149,0.63183,1.00587,0.64921,0.58491,0.60075,0.42838,0.9724,1.1472,1.16565,0.000450952,0.000450952,0.000450952
77,2019.44,0.77206,0.6182,0.99799,0.66244,0.59211,0.59895,0.4289,0.95029,1.14758,1.15375,0.000433938,0.000433938,0.000433938
78,2048.26,0.76855,0.62875,0.99928,0.62138,0.59141,0.58882,0.41554,0.96215,1.11872,1.15857,0.000417121,0.000417121,0.000417121
79,2074.74,0.76073,0.62101,0.99306,0.60558,0.6034,0.61257,0.43433,0.96925,1.11212,1.1619,0.000400513,0.000400513,0.000400513
80,2100.88,0.765,0.61235,0.9892,0.60647,0.63415,0.61166,0.44303,0.94969,1.17721,1.13885,0.000384124,0.000384124,0.000384124
81,2126.13,0.75659,0.6074,0.98949,0.63093,0.62135,0.6025,0.43813,0.9518,1.11079,1.15679,0.000367968,0.000367968,0.000367968
82,2150.59,0.74877,0.59951,0.98327,0.64917,0.59817,0.60763,0.4389,0.96122,1.09133,1.16861,0.000352053,0.000352053,0.000352053
83,2175.48,0.76156,0.60008,0.98324,0.63505,0.59293,0.6117,0.44169,0.94813,1.10865,1.15594,0.000336392,0.000336392,0.000336392
84,2201.44,0.75998,0.60654,0.99136,0.5948,0.63582,0.61581,0.44759,0.95523,1.0813,1.16041,0.000320995,0.000320995,0.000320995
85,2228.46,0.75789,0.60216,0.98712,0.64801,0.59576,0.61437,0.45016,0.95669,1.11522,1.16141,0.000305872,0.000305872,0.000305872
86,2254.03,0.7319,0.58627,0.97838,0.57108,0.64896,0.60128,0.44109,0.94523,1.11063,1.15906,0.000291035,0.000291035,0.000291035
87,2279.26,0.75094,0.59041,0.98556,0.58082,0.63085,0.59035,0.43439,0.95637,1.1294,1.15911,0.000276492,0.000276492,0.000276492
88,2305,0.74328,0.57905,0.98215,0.58073,0.6583,0.60478,0.44116,0.94221,1.10929,1.14998,0.000262255,0.000262255,0.000262255
89,2331.07,0.73078,0.58554,0.98211,0.62068,0.61702,0.603,0.43524,0.94233,1.11197,1.14878,0.000248332,0.000248332,0.000248332
90,2356.25,0.72681,0.57274,0.97658,0.63818,0.6084,0.61649,0.44455,0.94989,1.08752,1.15262,0.000234734,0.000234734,0.000234734
91,2381.07,0.74541,0.58451,0.98427,0.62604,0.63503,0.61241,0.44247,0.94107,1.10233,1.15203,0.000221469,0.000221469,0.000221469
92,2406.13,0.72946,0.56562,0.97582,0.55702,0.64784,0.60277,0.43369,0.94278,1.0954,1.15783,0.000208548,0.000208548,0.000208548
93,2433,0.73193,0.57365,0.97675,0.6151,0.61723,0.59718,0.42831,0.95113,1.12571,1.15476,0.000195978,0.000195978,0.000195978
94,2456.87,0.73934,0.56975,0.97967,0.63125,0.60464,0.59551,0.42967,0.96566,1.14572,1.17485,0.000183768,0.000183768,0.000183768
95,2483.18,0.72959,0.56039,0.97575,0.60717,0.60915,0.60083,0.43437,0.95035,1.10527,1.15989,0.000171927,0.000171927,0.000171927
96,2507.62,0.73192,0.56415,0.97953,0.63664,0.60624,0.60526,0.4413,0.94362,1.11925,1.15398,0.000160463,0.000160463,0.000160463
97,2531.32,0.7247,0.55737,0.97142,0.62784,0.61303,0.60496,0.44069,0.95791,1.11305,1.16331,0.000149383,0.000149383,0.000149383
98,2559.01,0.71771,0.54578,0.9739,0.61938,0.62116,0.60823,0.44146,0.95193,1.12245,1.16533,0.000138695,0.000138695,0.000138695
99,2584.81,0.72245,0.55731,0.97099,0.59591,0.64106,0.61088,0.4441,0.94056,1.10615,1.15948,0.000128407,0.000128407,0.000128407
100,2612.39,0.71952,0.54589,0.9689,0.62303,0.62301,0.6077,0.444,0.92755,1.13225,1.14478,0.000118526,0.000118526,0.000118526
101,2641.29,0.70597,0.53796,0.96832,0.62466,0.61467,0.59309,0.43218,0.93875,1.14938,1.15767,0.000109058,0.000109058,0.000109058
102,2668.37,0.70454,0.53731,0.96435,0.61045,0.62946,0.5962,0.43775,0.93829,1.12098,1.15623,0.000100009,0.000100009,0.000100009
103,2694.97,0.71294,0.54014,0.96292,0.65213,0.58358,0.60794,0.43791,0.93879,1.12657,1.1558,9.13871e-05,9.13871e-05,9.13871e-05
104,2722.94,0.70993,0.53327,0.96995,0.58934,0.64394,0.60685,0.43967,0.94415,1.13872,1.15434,8.31968e-05,8.31968e-05,8.31968e-05
105,2749.86,0.69557,0.52067,0.96826,0.62389,0.6203,0.60851,0.44359,0.94222,1.12768,1.15459,7.54441e-05,7.54441e-05,7.54441e-05
106,2778.28,0.71746,0.53707,0.96978,0.61077,0.63458,0.60321,0.43756,0.95154,1.14888,1.16386,6.81342e-05,6.81342e-05,6.81342e-05
107,2806.14,0.70574,0.52686,0.96288,0.59924,0.63656,0.59378,0.43107,0.94604,1.16124,1.16498,6.12722e-05,6.12722e-05,6.12722e-05
108,2830.38,0.71148,0.53497,0.9629,0.61467,0.62786,0.59297,0.42911,0.95188,1.15497,1.16467,5.48628e-05,5.48628e-05,5.48628e-05
